
> eventology@0.1.0 dev
> next dev

   ▲ Next.js 16.0.10 (Turbopack)
   - Local:         http://localhost:3000
   - Network:       http://192.168.0.2:3000

 ✓ Starting...
Attention: Next.js now collects completely anonymous telemetry regarding usage.
This information is used to shape Next.js' roadmap and prioritize features.
You can learn more, including how to opt-out if you'd not like to participate in this anonymous program, by visiting the following URL:
https://nextjs.org/telemetry

 ✓ Ready in 1447ms
 ○ Compiling /login ...
 GET /api/settings 200 in 11ms (compile: 6ms, render: 5ms)
 GET /api/settings 200 in 7ms (compile: 3ms, render: 4ms)
 GET /admin 200 in 109ms (compile: 5ms, render: 104ms)
 GET /api/applications 200 in 8ms (compile: 3ms, render: 5ms)
 GET /api/inquiries 200 in 9ms (compile: 4ms, render: 5ms)
 GET /api/settings 200 in 14ms (compile: 10ms, render: 4ms)
 GET /api/users 200 in 7ms (compile: 3ms, render: 4ms)
 GET /login 200 in 318ms (compile: 58ms, render: 260ms)
 POST /api/auth/login 200 in 24ms (compile: 10ms, render: 14ms)
 GET / 200 in 64ms (compile: 15ms, render: 50ms)
 GET /api/settings 200 in 14ms (compile: 7ms, render: 7ms)
 GET /api/settings 200 in 20ms (compile: 6ms, render: 14ms)
 GET /admin 200 in 182ms (compile: 13ms, render: 170ms)
 GET /api/applications 200 in 23ms (compile: 15ms, render: 8ms)
 GET /api/inquiries 200 in 23ms (compile: 17ms, render: 6ms)
 GET /api/settings 200 in 30ms (compile: 25ms, render: 5ms)
 GET /api/users 200 in 37ms (compile: 31ms, render: 6ms)
 GET /signup 200 in 97ms (compile: 10ms, render: 87ms)
 GET / 200 in 247ms (compile: 5ms, render: 242ms)
 GET /admin 200 in 132ms (compile: 14ms, render: 118ms)
 GET / 200 in 57ms (compile: 10ms, render: 47ms)
 GET /api/settings 200 in 11ms (compile: 3ms, render: 8ms)
 GET /api/settings 200 in 16ms (compile: 3ms, render: 13ms)
 GET / 200 in 149ms (compile: 5ms, render: 145ms)
 GET /api/settings 200 in 12ms (compile: 5ms, render: 7ms)
 POST /api/applications 201 in 12ms (compile: 4ms, render: 9ms)
 GET /login 200 in 162ms (compile: 13ms, render: 148ms)
 POST /api/auth/login 200 in 13ms (compile: 5ms, render: 9ms)
 GET / 200 in 50ms (compile: 7ms, render: 42ms)
 GET /api/settings 200 in 16ms (compile: 6ms, render: 10ms)
 GET /api/settings 200 in 16ms (compile: 9ms, render: 7ms)
 GET /admin 200 in 126ms (compile: 6ms, render: 120ms)
 GET /api/applications 200 in 14ms (compile: 8ms, render: 6ms)
 GET /api/inquiries 200 in 22ms (compile: 16ms, render: 6ms)
 GET /api/settings 200 in 12ms (compile: 6ms, render: 6ms)
 GET /api/users 200 in 23ms (compile: 15ms, render: 8ms)
 GET /login 200 in 141ms (compile: 7ms, render: 134ms)
 POST /api/auth/login 200 in 12ms (compile: 5ms, render: 7ms)
 GET / 200 in 29ms (compile: 4ms, render: 25ms)
 GET /api/settings 200 in 20ms (compile: 8ms, render: 11ms)
 GET /admin 200 in 192ms (compile: 9ms, render: 183ms)
 GET /api/settings 200 in 13ms (compile: 5ms, render: 8ms)
 GET /api/applications 200 in 9ms (compile: 3ms, render: 6ms)
 GET /api/inquiries 200 in 13ms (compile: 7ms, render: 6ms)
 GET /api/settings 200 in 10ms (compile: 5ms, render: 6ms)
 GET /api/users 200 in 20ms (compile: 12ms, render: 8ms)
 GET /signup 200 in 110ms (compile: 8ms, render: 102ms)
 GET / 200 in 133ms (compile: 5ms, render: 128ms)
 GET /admin 200 in 97ms (compile: 5ms, render: 92ms)
 GET / 200 in 29ms (compile: 4ms, render: 25ms)
 GET /api/settings 200 in 17ms (compile: 9ms, render: 8ms)
 GET /api/settings 200 in 6ms (compile: 2ms, render: 4ms)
 GET / 200 in 117ms (compile: 4ms, render: 113ms)
 GET /api/settings 200 in 8ms (compile: 3ms, render: 5ms)
 POST /api/applications 201 in 9ms (compile: 3ms, render: 7ms)
 GET /login 200 in 75ms (compile: 4ms, render: 71ms)
 POST /api/auth/login 200 in 11ms (compile: 6ms, render: 6ms)
 GET / 200 in 29ms (compile: 5ms, render: 23ms)
 GET /api/settings 200 in 10ms (compile: 5ms, render: 5ms)
 GET /api/settings 200 in 7ms (compile: 3ms, render: 4ms)
 GET /admin 200 in 103ms (compile: 11ms, render: 92ms)
 GET /api/applications 200 in 16ms (compile: 10ms, render: 6ms)
 GET /api/inquiries 200 in 24ms (compile: 18ms, render: 6ms)
 GET /api/settings 200 in 15ms (compile: 11ms, render: 3ms)
 GET /api/users 200 in 7ms (compile: 3ms, render: 4ms)
 GET /login 200 in 93ms (compile: 7ms, render: 86ms)
 POST /api/auth/login 200 in 13ms (compile: 8ms, render: 5ms)
